Título,Autor,Materia,Resumen,Fecha,Idioma
Bases moleculares de la sepsis,"Carrillo Esper,Raúl",Sépsis,"La sepsis es un síndrome que continúa siendo una causa importante de morbilidad y mortalidad entre los pacientes críticamente enfermos. Pese al desarrollo de la investigación básica dedicada al tema y los numerosos ensayos clínicos, no se han logrado avances notables en el desarrollo de terapias vanguardistas y eficaces para su manejo. Los trastornos fisiológicos inducidos por la sepsis son en gran parte debidos a la respuesta del huésped a los microorganismos invasores en contraste con los efectos directos del propio microorganismo. La sepsis, entendida como la respuesta inflamatoria sistémica a la infección, está marcada por la producción desregulada de citocinas proinflamatorias. Estos mediadores conducen de manera colectiva a la insuficiencia orgánica múltiple, y en última instancia, a la muerte. Es en este sentido que el papel de la inflamación en la fisiopatogenia de la sepsis, aunque todavía no entendida completamente, resulta claramente crítico. Esta revisión proporciona una perspectiva de las diversas interacciones moleculares que ocurren durante la sepsis, con el intento de poder comprender la naturaleza de la respuesta desregulada del sistema inmunitario durante ésta.",01/06/2014,es
Tendencia de la mortalidad por trastornos mentales: un panorama epidemiológico en México (1980-2011),"Campuzano Rincón,Julio César",Enfermedades mentales,"Se presentan resultados que buscan caracterizar el panorama epidemiológico sobre la tendencia de la mortalidad derivada de enfermedades mentales, específicamente psicosis alcohólica, ocurrido en los últimos 30 años, en la República Mexicana.",01/06/2014,es
El uso de la tecnología en la enseñanza de la anatomía en México y su comparación con la enseñanza internacional,"García Tay,Jorge Alfredo Gerardo",Enseñanza,"  El papel de la enseñanza de la anatomía está decayendo en su papel formativo en los programas educativos de medicina a nivel mundial. El tiempo dedicado a su enseñanza se ha reducido un total de 105 horas en Estados Unidos en un lapso de 25 años. Se cree que esto se debe a la poca motivación del estudiante para estudiar la materia y al cambio de enfoque de la enseñanza actual de la medicina, aunado a los altos costos de los laboratorios de disección. Por lo que se propone sumar a la enseñanza tradicionalista de la anatomía nuevas tecnologías que motiven y produzcan alumnos con una mejor preparación y capacidad para resolver problemas en la práctica clínica. Nuestro objetivo es describir la opinión de los estudiantes sobre la utilización de recursos tecnológicos en la enseñanza de la anatomía y el impacto que han tenido sobre su aprendizaje y realizar una comparación con la literatura mundial.  Material y método:  Se creo una encuesta de 16 preguntas con puntos clave sobre la enseñanza de la anatomía, la cual se aplicó en 3 universidades (UNAM, La Salle, Anáhuac), se realizó un análisis estadístico de las respuestas y se compararon con ya lo descrito a nivel internacional.  Resultados:  Se encontró una preferencia del estudiante por el método tradicionalista de instrucción, y optan por recibir enseñanza utilizando pizarrón y un enfoque prevalentemente tecnológico en las 3 universidades encuestadas; el 100% de los encuestados ya había utilizado algún recurso web para su aprendizaje.  Conclusiones:  El uso de la tecnología en la enseñanza es indiscutible, pero en México nos encontramos ante una paradoja en cuanto a la preferencia de los estudiantes sobre cómo les gusta ser instruidos, ya que prefieren -y están acostumbrados- a un método tradicionalista; pero la tendencia es hacia la implementación de la tecnología.",01/06/2014,es
Estenosis aórtica supravalvular: reporte de caso clínico y revisión bibliográfica,"Juárez-Orozco,Luis Eduardo",Estenosis aórtica supravalvular,"La estenosis aórtica supravalvular es una lesión congénita obstructiva del tracto de salida del ventrículo izquierdo. Es la forma menos frecuente dentro de este grupo de lesiones, las cuales, a su vez representan el 6% de las cardiopatías congénitas en pacientes pediátricos. Esta cardiopatía se relaciona más con pacientes pediátricos, sin embargo, presentamos el caso de un paciente masculino de 23 años de edad quien acudió al hospital por haber presentado episodio de disnea súbita en reposo, acompañada de diaforesis, dolor torácico opresivo sin irradiaciones y síncope. Se realizó un ecocardiograma transtorácico con el cual se diagnosticó estenosis aórtica supravalvular.",01/06/2014,es
Cambio 2007-2010 de la prevalencia de factores de riesgo para enfermedades crónicas en estudiantes,"Alvear-Galindo,María Guadalupe",factor de riesgo,"  Para diseñar estrategias de prevención, control y tratamiento de enfermedades crónicas no transmisibles en estudiantes es necesario conocer el comportamiento de éstas y los factores de riesgo a los que se exponen.   Comparar los cambios en la prevalencia de riesgos de enfermedades crónicas en estudiantes de la Universidad Nacional Autónoma de México (UNAM) al pasar del bachillerato a la licenciatura.  Material y métodos:  Se comparó información de los años 2007 y 2010 de la encuesta de valoración integral de la salud que aplica la Dirección General de Servicios Médicos (DGSM) a los estudiantes sobre consumo de alcohol, tabaco, actividad física o deportiva, cambios somatométricos, y la presencia de hipertensión arterial (HA), diabetes mellitus (DM), cáncer, sobrepeso y obesidad en ellos y sus familiares directos.  Resultados:  Participaron 593 alumnos, de ellos 69.6% eran mujeres. El índice de masa corporal (IMC) cambio en 3 años de ٢٢.٣ a ٢٣.٤ (p < 0.001) en los hombres y de 22.1 a 22.8 (p < 0.001) en las mujeres. La frecuencia de presión arterial alta cambió de ١.&#1637;٤ a 1.69%, el consumo de alcohol y tabaco se incrementó 32 y 7.6%, respectivamente. Los hombres resultaron más activos físicamente que las mujeres (p < 0.05); disminuyó la práctica de futbol en 21.7% y de corredores en 23%. En los familiares, la prevalencia de HA incrementó de 24.1 a 30.4%; obesidad de 27.6 a 31.3%, y DM tipo 2 de 12.8 a 16.2% con p < 0.01. El consumo de alcohol se incrementó de 11.4 a 13.3% y el tabaquismo de 24.5 a 24.9%.  Conclusiones:  El incremento de los factores de riesgo en los estudiantes y las enfermedades crónicas en sus familiares apuntalan hacia un perfil de mayor riesgo, por ello es importante promover conductas saludables y formar a los jóvenes como agentes de cambio, para que puedan influir en la reducción de daño en ellos y sus familiares.",01/08/2014,es
Simulador para la resección de un lipoma superficial,"Cortés González,Luis Daniel",Lipoma,"  La educación quirúrgica actual exige estrategias educativas modernas que fomenten en el alumno el deseo de buscar información, procesarla y hacer uso de ella en el momento que se requiera, integrando aspectos teóricos y prácticos, que les sean útiles para su vida profesional.   Diseñar un modelo de resección de lipoma superficial que permita al alumno desarrollar sus habilidades quirúrgicas en un simulador con características únicas, ya que ofrece una gran similitud con la realidad, ejemplo de ello es el sangrado activo. Los materiales para la preparación son de bajo costo y accesibles, lo cual permite su reproducción las veces que sean necesarias para adquirir la habilidad quirúrgica básica.  Conclusiones:  Consideramos que el simulador cuenta con características especiales que lo hacen una opción educativa práctica, de bajo costo y de fácil reproducción.",01/08/2014,es
La fiebre,"Ramón-Romero,Fidel",Fiebre,"Uno de los signos más comunes de numerosas enfermedades humanas, particularmente las infecciosas, es la fiebre caracterizada por una temperatura generalmente tomada en la piel y superior a 37° C. Históricamente, la fiebre ha sido considerada un signo de la enfermedad misma, pero estudios recientes en el campo de la Medicina Evolutiva, sugieren que la fiebre también es un mecanismo por el cual el organismo lucha contra invasores externos. Se hace una revisión de los conceptos modernos de la fiebre como base para sugerir al médico clínico, poner atención a la fiebre y no eliminarla, evitando el uso de antipiréticos sin evaluar sus posibles efectos benéficos.",01/08/2014,es
El trabajador de la salud y el riesgo de enfermedades infecciosas adquiridas. Las precauciones estándar y de bioseguridad,"Morelos Ramírez,Rubén",Residuos peligrosos biológico-infecciosos,"El trabajador de la salud (médicos, enfermeras, paramédicos, laboratoristas clínicos, etc.), por su actividad diaria está en riesgo de adquirir accidentalmente una enfermedad infecciosa. El contacto con pacientes, fluidos biológicos y el cultivo o aislamiento de microorganismos infecciosos durante el trabajo de laboratorio son factores que aumentan ese riesgo, y para disminuirlo se requiere de la aplicación de medidas preventivas o precauciones estándar de bioseguridad para cada una de sus actividades, por lo tanto, debe contar con el entrenamiento necesario. El uso de guantes, cubrebocas, mascarillas, bata, así como la disposición adecuada de los residuos peligrosos biológico-infecciosos (RPBI) resultan primordiales en el trabajo diario. Aunado esto, el lavado de manos, el cambio frecuente de la bata u otra vestimenta hospitalaria son de gran importancia para evitar las infecciones nosocomiales. Es importante considerar, que la carga de trabajo y el estrés ocupacional son factores adicionales que aumentan las probabilidades de incurrir en errores o accidentes laborales que provoquen infecciones en el personal de salud. Nuestro objetivo es presentar los factores de riesgo a los que se expone el trabajador de la salud durante sus actividades diarias y contribuir a la difusión y divulgación de la correcta aplicación de las precauciones universales de bioseguridad para disminuir el riesgo de adquirir una enfermedad infecciosa.",01/08/2014,es
Endocarditis infecciosa en un paciente con válvula aórtica bicúspide: Reporte y revisión de un caso,"Martínez-Aguilar,Myriam Monserrat",Endocarditis infecciosa,"La endocarditis infecciosa es una patología que requiere un diagnóstico y tratamiento oportuno para prevenir sus graves complicaciones y, ante todo, evitar la muerte del paciente. En el presente artículo, documentamos el abordaje diagnóstico y terapéutico de un caso de endocarditis, en el escenario de una cardiopatía congénita, válvula aórtica bicúspide, atendida en el Instituto Nacional de Cardiología “Ignacio Chávez”.",01/08/2014,es
Conocimiento de los pacientes sobre el consentimiento informado en un hospital general,"Vizcaya Benavides,David Marcelo",consentimiento informado,"  El consentimiento informado es un documento escrito firmado por el paciente o su representante legal en el que acepta, bajo debida información otorgada por el médico, los riesgos y beneficios esperados.   Determinar el grado de conocimiento del consentimiento informado en los pacientes de un hospital general de zona.  Método:  Encuesta transversal. Se estudiaron 220 pacientes (tamaño muestral determinado) hospitalizados por tamaño muestral, seleccionados por aleatorización sistemática en los servicios de cirugía, pediatría y medicina interna. Se construyó y aplicó un instrumento válido y consistente con 13 reactivos (validado por dos anestesiólogos, un pediatra, un urgenciólogo y un intensivista en dos rondas, miembros del Comité de Bioética) que indagaban edad, género, escolaridad, autorización y tipo de atención médica, responsable legal, lectura completa del documento, causas de no lectura, información médica previa firma. Variable dependiente: conocimiento general (una pregunta con 5 reactivos, un punto para cada uno si se conocía qué indagaban las características del consentimiento), los resultados se clasificaron como sabe mucho 5 puntos, sabe poco 2 a 3 puntos, y no sabe 0 a 1 puntos y además del trato del personal hospitalario. Encuesta autoaplicada. Se incluyeron documentos con las firmas del paciente, del médico, dos testigos y procedimiento a autorizar. Se eliminaron encuestas incompletas. Las encuestas se cotejaron con el expediente. Se determinó la consistencia del instrumento y se compararon las respuestas cualitativas por chi cuadrada.  Resultados:  Se estudiaron 74 pacientes por servicio; 26% ignoraba el consentimiento informado y 63% tuvo poco conocimiento, aun así 62% lo firmó. Sólo 56% de los expedientes tuvieron consentimiento considerado válido.  Conclusiones:  La mayoría de los pacientes ignora a qué se refiere el consentimiento informado, pero aun así lo firman. El índice de consentimientos informados en los expedientes fue deficiente.",01/12/2014,es
Trastorno por déficit de atención con hiperactividad: un problema de salud pública,"Sauceda García,Juan Manuel",trastorno por déficit de atención con hiperactividad,"El trastorno por déficit de atención con hiperactividad (TDAH) es el síndrome neuroconductual más común en la niñez y puede continuar al través de la adolescencia y la edad adulta. Los síntomas incluyen: dificultad para mantener la atención, hiperactividad y dificultad para controlar la conducta. Su prevalencia es de 5% en la niñez y de 2.5% en la edad adulta. Quienes lo padecen suelen llegar a sufrir, más que quienes no lo experimentan, adversidades de diversos tipos en el área de la salud mental: deficientes logros académicos y ocupacionales, abuso de sustancias, problemas legales, lesiones accidentales, pobres elecciones sobre la salud personal, paternidad precoz, problemas de conducta, ansiedad, depresión, divorcio, conducta suicida, etc. Los profesionales mejor capacitados para diagnosticar el TDAH son psiquiatras y neurólogos, sobre todo los especializados en el estudio de los menores. El tratamiento que ha mostrado mayor efectividad en casos de mediana y gran gravedad es el empleo de medicamentos (estimulantes y atomoxetina en primer término), con mejores resultados cuando se combina con medidas psicosociales. Por su elevada prevalencia y su impacto a largo plazo se requiere de un enfoque de salud pública en la identificación y tratamiento del TDAH. Dado el número limitado de profesionales de la salud mental en nuestro país, es conveniente que médicos del primer nivel mejoren sus habilidades para diagnosticar y tratar el TDAH.",01/12/2014,es
Importancia de la Medicina Legal en la práctica médica,"García-Garduza,Ismael",Medicina Legal,"La Medicina Legal es parte del plan de estudios de la carrera de Medicina, sin embargo, debido a un error en su definición, porque se considera equivalente a la Medicina Forense, ha favorecido que no se identifique claramente qué es, cuáles son sus objetivos y, por lo tanto, su importancia en el ejercicio médico-clínico, por lo que en este artículo se precisa su concepto, funciones y diferencias con la Medicina Forense, para que su aplicación en la práctica médica sea correcta, sobre todo porque al lograrse estos propósitos, el profesional de la Medicina podrá delimitar el ejercicio de su práctica profesional al saber qué es lo que puede y debe hacer, garantizando su seguridad jurídica, porque evitará juicios por mala práctica médica; además, la Medicina Legal lo capacita para conocer el sistema procesal penal acusatorio (juicios orales), para que pueda participar como perito.",01/12/2014,es
Padeciente: un aporte conceptual para la conformación de un modelo de atención a las enfermedades crónicas,"Cardoso Gómez,Marco Antonio",Padeciente,"En México nos encontramos en transiciones epidemiológica y demográfica caracterizadas, entre otras, el incremento de las enfermedades crónicas como causas de morbi-mortalidad y el envejecimiento de la población. Lo anterior demanda un modelo de atención médica diferente al establecido para atender enfermedades agudas y transmisibles, en las que el individuo enfermo puede recuperar su salud en un tiempo relativamente corto, no así en las enfermedades crónicas, en las que el individuo enfermo las “padece” por tiempo prolongado, con grandes repercusiones en su vida familiar, laboral y social. Proponemos utilizar el término “paciente” para los individuos con enfermedad aguda o trasmisible y “padeciente” para aquellos con padecimientos crónicos, lo cual implica la exploración de nuevas alternativas para la atención médica efectiva.",01/12/2014,es
Esclerosis múltiple: enfermedad neurológica de alto impacto social: de vuelta al antiguo tratamiento,"Guadarrama-Ortiz,Parménides",Enfermedad inmune-inflamatoria,"La esclerosis múltiple (EM) es una enfermedad inmune-inflamatoria y crónico-degenerativa, que afecta a personas jóvenes y tiene un alto impacto social por los costos directos e indirectos.  Regular el proceso neurodegenerativo a través de una adecuada modulación de los factores inflamatorios mediante el uso de metilprednisolona y la evaluación con estudios de resonancia magnética.  Pacientes y métodos: Pacientes mujeres que se encuentran entre la 1ª y 5ª década de la vida, con diagnóstico de EM, que se incluyeron por cumplir con los criterios diagnósticos de McDonald 2010 (sobre todo la diseminación en tiempo y espacio). Se les administraron bolos de metilprednisolona de manera regular, aun cuando no presentaran recaídas y se evaluaron con estudios de resonancia magnética (RM) anual, con un seguimiento de hasta 15 años.  Resultados: Se observa una marcada disminución de las lesiones en función del tiempo y la administración de los bolos de metilprednisolona, y entre los 3 y 10 años las lesiones desaparecen en su totalidad.  Conclusiones:  La administración de bolos de metilprednisolona de manera regular atenúa el proceso inflamatorio y el daño a la barrera hematoencefálica, y por lo tanto, coadyuva en la remielinización y previene la neurodegeneración.",01/12/2014,es
Situación del brote de Ébola en África Occidental en el año 2014,"Anaya Velarde,Luis",virus del Ébola,"Desde el comienzo del brote en diciembre del 2013, y hasta el corte del 20 de septiembre de 2014, de un total de 6,185 casos probables de Ébola, se han registrado un total de 2,909 defunciones. Con una letalidad inferior al 50%, considerablemente menor a la reportada en brotes previos de la enfermedad, se cree que dichas estimaciones están sesgadas debido a la dificultad en la recolección y análisis de la información. El 23 de septiembre, la OMS presentó una revisión a dichas estimaciones, señalando una letalidad del 70%. El brote se registró originalmente en Liberia y Guinea, y posteriormente se han repostado casos en Nigeria, Sierra Leona y Senegal. Todos los casos confirmados por laboratorio han sido positivos al vírus del Ébola. La fuente inicial del brote se localizó en la aldea de Meliandou, prefectura de Guáckádou, Guinea. El caso índice fue un niño de 2 años, el cual falleció el 6 de diciembre de 2013. Su madre, hermana y abuela también fallecieron también por la enfermedad. La gente de la aldea infectada por estas víctimas iniciales transmitió el brote a aldeas aledañas. El brote se esparció inicialmente a Liberia y posteriormente a Sierra Leona. En los tres países continúa la circulación del virus. La llegada de algunos casos a Nigeria y Senegal obligó a dichos países a cerrar sus fronteras, y a poner en cuarentena a ciudadanos de los que se sospechara que estuvieran infectados. Hasta la fecha, ambos países no han presentado casos nuevos, por lo que se consideran en control. Asimismo, se han reportado casos importados de dichos países en Estados Unidos, Francia, Alemania, España, Suiza y el Reino Unido.",01/12/2014,es
Manga gástrica laparoscópica. Revisión detallada,"Pompa González,Liza María",MeSH: medicina bariátrica,"La cirugía bariátrica es una rama de la medicina que se dedica al tratamiento de la obesidad y sus posibles comorbilidades a través de procedimientos quirúrgicos. Presentamos la historia y varios aspectos de la manga gástrica laparoscópica a través de 20 años. La reducción de peso se logra aquí por varios mecanismos: uno es la reducción del volumen estomacal y otro es la menor secreción de la hormona ghrelina; lo que promueve una saciedad más rápida y una reducción del apetito. Karamankos S.N. encontraron un mayor porcentaje en la apérdida del exceso de peso con manga gástrica que con bypass gástrico en un seguimiento a 1 año (69,7 ± 14,6% contra 60,5 ± 10,7%). En un metaanálisis publicado en 2011, Padwal R. y cols. concluyeron que existe una mayor disminución de índice de masa corporal en pacientes sometidos a manga gástrica que en bypass gástrico de −10,1 kg/m2 y -9 kg/m2 respectivamente.",01/12/2014,es
"La marihuana. Entorno social y sus efectos nocivos en el producto in útero, en la niñez y en la adolescencia","Loredo Abdalá,Arturo",Marihuana,"Se hace un análisis de la situación social y médica que actualmente enfrentan los niños y los adolescentes de México. El propósito de difundir los riesgos que tienen en la mujer embarazada, el producto de la gestación y la niña, niño o el adolescente, por consumir pasiva o activamente marihuana, en etapas tempranas de la vida. Asimismo, tratar de sensibilizar y actualizar a los estudiantes de medicina, a los médicos generales, médicos familiares, ginecoobstetras y pediatras sobre las consecuencias físicas, genéticas y neurológicas principalmente reportadas, en dichas poblaciones. A pesar de que existen numerosos informes en la literatura internacional sobre esta problemática, a nivel nacional los trabajos son escasos y por lo tanto las posibilidades de prevenir el daño en niñas, niños y adolescentes mexicanos son mínimas.",01/12/2014,es
Estudio retrospectivo en el diagnóstico de Mycoplasma y Ureaplasma en muestra seminal de 89 pacientes en la Ciudad de México,"Góngora Rodríguez,Alfredo",Mycoplasma," El Mycoplasma hominis, Mycoplasma genitalium y Ureaplasma urealyticum son microorganismos que se encuentran asociados a problemas reproductivos como la enfermedad pélvica inflamatoria en mujeres y la uretritis no gonocócica en hombres. Se han descrito alteraciones vinculadas a la infección por estos microorganismos, en parámetros reproductivos como la morfología espermática, el índice de infertilidad y la subfertilidad en el hombre.  Objetivos: Determinar la incidencia de Mycoplasma spp. y Ureaplasma spp. en pacientes del Distrito Federal (México) y evaluar las posibles correlaciones con sus resultados en la espermatobioscopía.  Material y método: Estudio retrospectivo de 89 pacientes positivos a Mycoplasma y Ureaplasma. Se analizaron los resultados de la espermatobioscopía y se correlacionaron estadísticamente.  Resultados: Se obtuvo un aumento en el diagnóstico de estos 2 microorganismos en un 15% en el primer semestre del 2013 respecto al año 2012. Se encontraron diferencias significativas (P < 0.001) en la morfología espermática de pacientes positivos a alguno de los 2 agentes.  Conclusiones: El Mycoplasma y el Ureaplasma se consideran como flora normal del tracto genitourinario, aun así, debe realizarse su diagnóstico en pacientes con historial de fertilidad y subfertilidad y debe ser considerado cuando en el espermograma informe de alteraciones morfológicas y aumento del recuento de leucocitos.",01/02/2015,es
Visión integral de la relación entre la infección por el VIH y el cáncer,"Villegas Valverde,Carlos",VIH," La magnitud de la infección por el virus de inmunodeficiencia humana (VIH) trasciende el problema de salud que encierra, ya que constituye el terreno propicio para generar otros, emergentes y reemergentes, de igual o mayor repercusión. En tal sentido, el cáncer incrementa su incidencia, gravedad y mortalidad en los pacientes VIH positivos. Esta asociación se da en las áreas de la epidemiología, patogenia, fisiopatología, clínica y terapéutica.  Métodos: Para actualizar estas relaciones se realizó una amplia revisión documental, aplicándose métodos teóricos como análisis y síntesis y el histórico lógico.  Desarrollo: El nexo más evidenciado en la génesis y desarrollo del cáncer, fue la disfunción del sistema inmune, mediante la inmunodeficiencia e inflamación crónica que induce el VIH. La complejidad de ambas enfermedades presupone un desafío a la hora de manejarlas clínica y terapéuticamente, por lo que se requiere un cambio de paradigma por parte de los servicios de salud. Sin embargo, no todos los elementos surgidos de la revisión son desfavorecedores, varios hallazgos en la conducta muestran beneficios para el paciente VIH positivo con cáncer. Asimismo, la prevención del cáncer en ellos es posible.  Conclusiones: Las relaciones entre el VIH y el cáncer están sustentadas epidemiológicamente, además, existen evidencias de causalidad del VIH como favorecedor de la aparición de neoplasias malignas a nivel celular y molecular en sus patogenias. Sin embargo, no todo es negativo, hay evidencias de beneficios mutuos al abordar estos problemas de salud.",01/02/2015,es
MicroPET: tomografía por emisión de positrones para animales de laboratorio,"Lara Camacho,Víctor M.",Tomógrafo,"El tomógrafo por emisión de positrones (PET, por sus siglas en inglés [positron emission tomography]) es una poderosa herramienta no invasiva para el diagnóstico clínico e investigación in vivo por medio de imágenes empleada en humanos y animales de laboratorio. Se han desarrollado equipos exclusivos para los diversos modelos animales con los beneficios de esta técnica para el estudio de diferentes enfermedades.",01/02/2015,es
"Íleo biliar, una causa infrecuente de oclusión intestinal. Presentación de un caso clínico y revisión de la literatura","Belmontes Castillo,Maribel",Íleo biliar,"El íleo biliar, es una causa poco frecuente de oclusión intestinal. Representa del 1-4% de los casos de oclusión intestinal mecánica. Debe tenerse en mente en pacientes de edad avanzada con signos y síntomas de oclusión intestinal, antecedentes de litiasis vesicular y cuadros repetitivos de cólico biliar. La sospecha de esta patología y el diagnóstico temprano permiten brindar un tratamiento quirúrgico oportuno. En el siguiente artículo documentamos el abordaje diagnóstico y terapéutico de un caso de íleo biliar.",01/02/2015,es
Localización inusual de lesiones líticas de mieloma múltiple con resonancia magnética. Reporte de dos casos,"Valencia Huerta,Octavio",Lesiones inusuales,"El mieloma múltiple (MM) es una enfermedad maligna hematológica que se caracteriza por la proliferación de células plasmáticas monoclonales en la médula ósea. La prueba de diagnóstico estándar de oro para MM es un aspirado y/o biopsia de médula ósea (MO), que define la cantidad de células plasmáticas atípicas y constituye la base del sistema de clasificación diagnóstica del Grupo de Trabajo Internacional del Mieloma. Las lesiones del MM en tejido óseo son líticas y su localización más frecuente es en la columna vertebral, pelvis, cráneo y costillas. Aunque las lesiones óseas predominan en estas regiones del esqueleto y en las extremidades proximales también se presentan en menor proporción en codos, rodillas y escápula. En los estudios por imagen la radiografía simple es el principal estudio diagnóstico en la detección de cambios óseos destructivos por MM, sin embargo tiene baja sensibilidad. El estudio de resonancia magnética (RM) es el estudio de elección por tener mayor sensibilidad y especificidad para el diagnóstico de esta enfermedad. Informar 2 casos con infiltración por mieloma múltiple en regiones inusuales.",01/02/2015,es
“Apto para declarar”: ¿diagnóstico psiquiátrico o médico-forense?,"García Garduza,Ismael",Aptitud,"En México, la implantación del nuevo Sistema Procesal Penal Acusatorio origina, por su principio de oralidad, la necesidad de que las personas que participen en él se encuentren aptos para declarar, pero la falta de una definición jurídica y criterios médicos para determinarlo hace que los agentes del Ministerio Público lo soliciten indiscriminadamente y los médicos adscritos a la agencia del Ministerio Público lo hagan a exigencia de aquellos y aplicando su criterio particular. Dar a conocer qué significa el concepto de “apto para declarar”, por qué se debe solicitar, a quién se le debe determinar, qué habilidades involucra la aptitud para quien participa en un proceso jurídico, los momentos procesales en que se debe evaluar, cómo se debe dar a conocer o entender, cuál es el procedimiento para establecerlo, qué profesionista debe estudiarlo y quién debe expresarlo. Esta información es esencial para lograr una estandarización en cuanto a la forma y oportunidad en su solicitud por parte de la autoridad y al procedimiento que se debe llevar a cabo por los médicos forenses y psiquiatras para determinarlo y expresarlo.",01/04/2015,es
El dilema obstétrico,"Ramón,Fidel",humano,"La teoría darwiniana indica que los seres humanos somos producto de la evolución y la selección natural, que ha tomado millones de años para traernos a nuestra situación actual. En el transcurso de ese tiempo el cuerpo de los animales que nos precedieron y del humano mismo cambiaron en varias formas, y una de los cambios más trascendentales fue el paso de la locomoción cuadrúpeda a bípeda. Ese cambio requirió numerosas adaptaciones entre las que están las del esqueleto de la pelvis y las extremidades inferiores, que redujeron el tamaño del anillo pélvico, por lo que si el feto esperara a nacer hasta que su cerebro madurara completamente, su gran cabeza no pasaría por ese anillo. La solución a este problema, que se ha llamado el dilema obstétrico, fue que el nacimiento ocurriera cuando la cabeza del feto aún no es demasiado grande, lo que implica que el cerebro todavía no está completamente maduro; aun así, el feto pasa con dificultades por el canal y el anillo pélvico. Al momento del nacimiento el cerebro del neonato no está completamente desarrollado y tiene que terminar de madurar fuera del útero, lo que toma tomar alrededor de 20 años. Esto puede explicar no solamente el comportamiento desorganizado de los adolescentes en general, sino también el inicio temprano de algunas enfermedades neurológicas cuyas consecuencias no se ven hasta la edad adulta, cuando la maduración del cerebro ha terminado.",01/04/2015,es
Enterolito de sulfato de bario en una paciente con malformación anorrectal. Notas sobre el colostograma distal apropiado,"Martínez-Leo,Bruno",Colostograma,"Presentación del caso: Paciente femenino de 2 años de edad con malformación Anorrectal y fístula rectovestibular a quién se realizó colostograma distal con sulfato de bario provocando concreción lítica de bario en el fondo de saco del colon distal al no enjuagar el contenido. Ante la imposibilidad de retirar el enterolito a través del estoma disfuncional de la derivación intestinal decidimos realizar la extracción al momento de hacer la anorrectoplastía sagital posterior con riesgo aumentado de infección, dehiscencia de herida y lesión de estructuras adyacentes. Enfatizamos la necesidad de recordar a la comunidad médica radiológica y pediátrica de la adecuada realización de este tipo de estudios siempre con medio de contraste hidrosoluble, y aprovechamos para recapitular la técnica de realización del mismo.",01/04/2015,es
Fecalito como signo radiológico en la apendicitis aguda,"Blanco Figueroa,Jorge Alberto",Apendicitis,"Paciente varón de 15 años de edad, que acude a revisión por historia de dolor abdominal de 5 días de evolución. A la exploración física se encontró dolor localizado en fosa iliaca derecha a la palpación profunda, sin datos de irritación peritoneal ni signos apendiculares. Los laboratorios revelaron leucocitosis de 13,300 con neutrofilia y las radiografías simples de abdomen mostraron lito calcificado en fosa iliaca derecha. Se realizó laparotomía exploradora con hallazgos transoperatorios de apéndice abscedada de 6 × 3 cm, perforada en tercio medio y con fecalito libre de aproximadamente 2 cm en cavidad abdominal. Evolucionó sin complicaciones y egresó al cuarto día.",01/04/2015,es
Uso de la nanopartícula de SiO 2 -TiO 2 en el tratamiento de úlceras en pie diabético: comunicación preliminar,"López Göerne,Tessy",Pie diabético,"Una de las complicaciones más graves de la diabetes mellitus es el pie diabético, que resulta de la suma de factores como: macroangiopatía, microangiopatía y neuropatía que disminuyen el flujo vascular y causan pequeñas lesiones que rápidamente progresan a úlceras y pueden abarcar todos los tejidos; la clasificación de Wagner1 señala cómo se puede progresar de una pequeña lesión superficial a una profunda, y que se extienda a los tejidos profundos: tendones, músculos y aún hueso, y dañar gravemente la salud, con inminencia de muerte por sepsis. El tratamiento convencional tiene buenos resultados en general, pero requiere un cuidadoso programa de atención local, protección de mayores lesiones, antibióticos, etc., y si no hay resultado, puede terminar en amputación. La utilización de nanopartículas de óxidos metálicos, que consisten de dióxido de silicio (SiO2) y dióxido de tinanio (TiO2), preparadas mediante la técnica sol-gel, pueden ofrecer una alternativa viable en el tratamiento de la úlcera diabética, debido a un mecanismo que permite mantenerla seca y, al mismo tiempo, inhibe el crecimiento de bacterias mediante un efecto bíocatalítico2. Para evaluar el uso de estas nanopartículas en el pie diabético, se realizó un protocolo de investigación en un grupo de pacientes que acuden al Centro Especializado en la Atención del Paciente Diabético “Dr. Manuel González Rivera”, dependiente de la Secretaría de Salud del Distrito Federal; este protocolo fue aprobado por la Dirección de Enseñanza e Investigación de la propia Secretaría, con el número de registro 101/100/014/13. Se estudió a 62 pacientes con diversas formas de úlcera diabética y se aplicaron las nanopartículas haciendo una curación cada 48 horas, fueron evaluadas con fotografías seriadas y cultivos de la úlcera. Todos los pacientes que recibieron el tratamiento lograron la curación, con desaparición de las úlceras y cicatrización satisfactoria.  Conclusión: La aplicación tópica de las nanopartículas de SiO2 y TiO2 parece ser de utilidad en el tratamiento de la úlcera diabética.",01/06/2015,es
